tables,as,as_label,Pull Request/Issue,parents_as,parents_as_label,references
skeleton,https://purl.org/ccf/ASCTB-TEMP_carotid-canal-of-petrous-part-of-temporal-bone,carotid canal of petrous part of temporal bone,,UBERON:0001678,temporal bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_coccygeal-cornu-of-coccyx,coccygeal cornu of coccyx,,UBERON:0001350,coccyx,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_coronoid-fossa-of-humerus,coronoid fossa of humerus,,UBERON:0005170,granulosa cell layer,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_costal-groove-of-first-rib,costal groove of first rib,,UBERON:0002512,corpus luteum,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_costal-groove-of-twelfth-rib,costal groove of twelfth rib,,UBERON:0004601,rib 1,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_costal-notches-of-sternum,costal notches of sternum,,UBERON:0004611,rib 12,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_costal-region-bone,costal region bone,,https://purl.org/ccf/ASCTB-TEMP_respiratory-diaphragm-muscle,respiratory diaphragm muscle,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_cribiform-plate-of-ethmoid-bone,cribiform plate of ethmoid bone,,UBERON:0014477,thoracic skeleton,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_crista-galla-of-ethmoid-bone,crista galla of ethmoid bone,,UBERON:0001679,ethmoid bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_digastric-fossa-of-mandible,digastric fossa of mandible,,https://purl.org/ccf/ASCTB-TEMP_superior-ulnar-lymph-node,superior ulnar lymph node,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_dorsum-sellae-of-sphenoid-bone,dorsum sellae of sphenoid bone,,UBERON:0001383,muscle of leg,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_ethmoidal-air-cells-of-ethmoid-bone,ethmoidal air cells of ethmoid bone,,http://purl.org/sig/ont/fma/fma234924,Brachial lymphatic vessel,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_ethmoidal-bulla-of-ethmoid-bone,ethmoidal bulla of ethmoid bone,,UBERON:0001679,ethmoid bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_external-auditory-meatus-of-squamous-part-of-temporal-bone,external auditory meatus of squamous part of temporal bone,,UBERON:0002379,perineal muscle,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_external-occipital-protuberance-of-squamous-part-of-occipital-bone,external occipital protuberance of squamous part of occipital bone,,UBERON:0002376,cranial muscle,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_facet-of-eleventh-rib,facet of eleventh rib,,UBERON:0035404,superior hypophysial artery,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_facet-of-first-rib,facet of first rib,,UBERON:0004610,rib 11,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_facet-of-tenth-rib,facet of tenth rib,,UBERON:0004601,rib 1,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_facet-of-twelfth-rib,facet of twelfth rib,,UBERON:0004609,rib 10,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_fibular-facet-of-tibia,fibular facet of tibia,,UBERON:0004611,rib 12,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_fibular-notch-of-tibia,fibular notch of tibia,,UBERON:0000979,tibia,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_fibular-trochlea-of-calcaneus,fibular trochlea of calcaneus,,UBERON:0000979,tibia,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_foramen-lacerum-of-sphenoid-bone,foramen lacerum of sphenoid bone,,http://purl.org/sig/ont/fma/fma43942,Plantar arch,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_foramen-magnum-of-basilar-part-of-occipital-bone,foramen magnum of basilar part of occipital bone,,UBERON:0001677,sphenoid bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_foramen-ovale-of-sphenoid-bone,foramen ovale of sphenoid bone,,UBERON:0001676,occipital bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_foramen-rotundum-of-sphenoid-bone,foramen rotundum of sphenoid bone,,UBERON:0001677,sphenoid bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_fossa-for-lacrimal-sac-of-lacrimal-bone,fossa for lacrimal sac of lacrimal bone,,UBERON:0001677,sphenoid bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_free-part-of-arm-bone,free part of arm bone,,UBERON:0012419,taenia coli,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_free-part-of-leg-bone,free part of leg bone,,UBERON:0003460,arm bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_frontal-crest-of-frontal-bone,frontal crest of frontal bone,,UBERON:0010946,occipitofrontalis muscle,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_frontal-sinus-of-frontal-bone,frontal sinus of frontal bone,,UBERON:0000209,tetrapod frontal bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_glabella-of-frontal-bone,glabella of frontal bone,,UBERON:0001828,gingiva,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_glenoid-fossa-of-scapula,glenoid fossa of scapula,,UBERON:0000209,tetrapod frontal bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_gluteal-surface-of-ilium-of-os-coxa,gluteal surface of ilium of os coxa,,UBERON:0006849,scapula,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_gluteal-tuberosity-of-femur,gluteal tuberosity of femur,,UBERON:0001272,innominate bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_granula-foveaolae-of-parietal-bone,granula foveaolae of parietal bone,,UBERON:0000981,femur,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_greater-cornu-of-hyoid-bone,greater cornu of hyoid bone,,UBERON:0000210,tetrapod parietal bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_greater-palatine-canal-of-maxilla,greater palatine canal of maxilla,,UBERON:0001685,hyoid bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_greater-palatine-foramen-of-palatine-bone,greater palatine foramen of palatine bone,,UBERON:0002397,maxilla,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_greater-sciatic-notch-of-ilium-of-os-coxa,greater sciatic notch of ilium of os coxa,,UBERON:0001682,palatine bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_greater-wings-of-sphenoid-bone,greater wings of sphenoid bone,,UBERON:0001272,innominate bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_groove-for-fibularis-longus-tendon-of-cuboid,groove for fibularis longus tendon of cuboid,,UBERON:0001677,sphenoid bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_groove-for-middle-meningeal-a-of-parietal-bone,groove for middle meningeal a. of parietal bone,,UBERON:0001455,cuboid bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_groove-for-nasopalatine-nerve-of-vomer,groove for nasopalatine nerve of vomer,,UBERON:0000210,tetrapod parietal bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_groove-for-posterior-deep-temporal-artery-of-squamous-part-of-temporal-bone,groove for posterior deep temporal artery of squamous part of temporal bone,uberon#3656,UBERON:0002396,vomer,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
